,final_mat,final_pt,in_laboratorio_informatica,in_laboratorio_ciencias,in_quadra_esportes,in_cozinha,in_biblioteca,in_sala_leitura,in_internet,in_alimentacao,tp_atividade_complementar,tp_localizacao,num_proffundamental,num_matri_fund_total_geral,num_turmas_fund_total_geral,nu_salas_utilizadas,nu_funcionarios,num_matri_fund_5a8,rural
207,293.95,298.98,1,0,1,1,1,0,1,1,0,1. Urbana,141.0,0.0,0.0,12,42,0.0,0
208,277.06,278.67,1,0,1,1,1,0,1,1,0,1. Urbana,51.0,0.0,0.0,10,48,0.0,0
209,247.75,258.56,1,0,1,1,1,0,1,1,0,1. Urbana,53.0,0.0,0.0,2,39,0.0,0
210,235.06,224.95,1,0,1,1,0,0,1,1,0,2. Rural,19.0,0.0,0.0,6,41,0.0,1
211,251.5,246.3,1,0,1,1,0,0,1,1,0,1. Urbana,107.0,0.0,0.0,13,66,0.0,0
212,267.84,263.82,1,0,1,1,0,0,1,1,0,1. Urbana,65.0,0.0,0.0,9,40,0.0,0
213,255.34,253.82,1,1,1,1,1,0,1,1,0,1. Urbana,66.0,0.0,0.0,3,102,0.0,0
214,251.43,255.07,1,0,1,1,1,1,1,1,0,1. Urbana,29.0,0.0,0.0,6,27,0.0,0
215,256.03,250.76,1,1,1,1,1,1,1,1,1,1. Urbana,141.0,0.0,0.0,12,61,0.0,0
216,254.72,264.67,1,0,1,1,1,1,1,1,1,1. Urbana,166.0,0.0,0.0,10,56,0.0,0
217,260.55,260.14,1,1,1,1,1,0,1,1,0,1. Urbana,125.0,0.0,0.0,12,72,0.0,0
218,255.15,267.22,1,0,1,1,1,0,1,1,0,1. Urbana,133.0,0.0,0.0,11,57,0.0,0
219,267.37,269.75,1,1,1,1,1,0,1,1,0,1. Urbana,175.0,0.0,0.0,16,101,0.0,0
220,261.23,254.94,0,0,0,1,0,0,1,1,0,2. Rural,29.0,0.0,0.0,10,31,0.0,1
221,281.68,271.85,1,1,1,1,1,0,1,1,0,1. Urbana,36.0,0.0,0.0,22,74,0.0,0
